Caract\Error;0;2999;5999;8999;11999;14999;17999;20999;23999;26999;29999;
GA 0,20;0,04631;0,00001;0,00001;0,00001;0,00001;0,00001;0,00000;0,00000;0,00000;0,00000;0,00000;
GA 0,30;0,03233;0,00001;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;
GA 0,40;0,10318;0,00001;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;
