Eval;Branches;Leaves;Parts;min MAE;real Time;sum Time;avg Mae;avg Time
Random;1;100;99;4,3455794302832244E-4;252701;252670;0,005541262177237835;2526;
LSFI;1;100;99;9,621266515912975E-4;52609;52594;0,008660203642721166;525;
LSBI;1;100;99;5,0153729622536E-4;218122;218110;0,009813504126163242;2181;
Random;2;100;99;4,3455794302832244E-4;249641;498205;0,005487439542624031;2491;
LSFI;2;100;99;7,324874252306821E-4;52991;103876;0,009783971999244212;519;
LSBI;2;100;99;5,0153729622536E-4;219814;424440;0,00875609288867637;2122;
Random;4;100;99;4,3455794302832244E-4;313999;1249771;0,005391606522292029;3124;
LSFI;4;100;99;7,324874252306821E-4;66299;257205;0,009006549108480054;643;
LSBI;4;100;99;5,0153729622536E-4;296239;1121020;0,008186846240512595;2802;
Random;8;100;99;4,3455794302832244E-4;495844;3954646;0,005431176237932663;4943;
LSFI;8;100;99;4,0972053674854576E-4;108759;846220;0,008880039580723803;1057;
LSBI;8;100;99;5,0153729622536E-4;411624;3103181;0,008041988639992649;3878;
Random;1;100;499;6,829913391237758E-4;245307;245298;0,004892569629377449;2452;
LSFI;1;100;499;6,488704932280962E-4;366949;366939;0,005976390060547141;3669;
LSBI;1;100;499;4,955470599082139E-4;4439819;4439813;0,0030670452323859013;44398;
Random;2;100;499;5,728609865704111E-4;323711;647089;0,004734467386338361;3235;
LSFI;2;100;499;6,488704932280962E-4;382048;745028;0,005623660054573491;3725;
LSBI;2;100;499;4,955470599082139E-4;4579128;9028144;0,0029306396528815974;45140;
Random;4;100;499;5,728609865704111E-4;368788;1474440;0,004498309682321323;3686;
LSFI;4;100;499;6,488704932280962E-4;538071;2097066;0,005874385202358187;5242;
Random;1;100;99;4,3455794302832244E-4;253563;253536;0,005541262177237835;2535;
LSFI;1;100;99;9,621266515912975E-4;54227;54217;0,008660203642721166;542;
LSBI;1;100;99;5,0153729622536E-4;225017;225008;0,009813504126163242;2250;
LSBI;4;100;499;4,7640026282864473E-4;5846532;22245161;0,0031373951716124906;55612;
Random;8;100;499;4,4015647920567837E-4;500656;3986015;0,004517868977619008;4982;
LSFI;8;100;499;4,6322351856696597E-4;770092;5943550;0,005999542767407254;7429;
LSBI;8;100;499;3,7504822165216917E-4;8366413;62759743;0,003078327082466735;78449;
Random;1;100;999;3,808989381892006E-4;248286;248278;0,0053089287913094165;2482;
LSFI;1;100;999;5,895020719448216E-4;804201;804192;0,006275452781426803;8041;
LSBI;1;100;999;3,87189883968046E-4;16614572;16614564;0,0019835474578204946;166145;
Random;2;100;999;3,808989381892006E-4;268290;521285;0,005272522917163516;2606;
LSFI;2;100;999;5,895020719448216E-4;935900;1761625;0,005510624521182417;8808;
LSBI;2;100;999;3,87189883968046E-4;18829651;36066789;0,001913308957799409;180333;
Random;4;100;999;3,808989381892006E-4;365455;1460833;0,004906595671851842;3652;
LSFI;4;100;999;5,895020719448216E-4;1311046;5031078;0,005673839911160955;12577;
LSBI;4;100;999;3,412096313769007E-4;24157456;91967320;0,0018687577240091091;229918;
Random;8;100;999;3,808989381892006E-4;485764;3879549;0,004663831885935011;4849;
LSFI;8;100;999;5,579556524704975E-4;1800190;13777403;0,005354746341873404;17221;
LSBI;8;100;999;2,718018240981913E-4;33065939;253347843;0,0018050564810249416;316684;
