Eval;Branches;Leaves;Parts;min MAE;real Time;sum Time;avg Mae;avg Time;
Random;1;5;99;8,79269434442198E-4;10007;2000;8,79269434442198E-4;2000;
LSFI;1;5;99;0,0010689833057691387;2015;461;0,0010689833057691387;461;
LSBI;1;5;99;0,0012200666639105833;10081;2094;0,0012200666639105833;2094;
Random;1;50;99;5,32636859193663E-4;100004;2000;5,32636859193663E-4;2000;
LSFI;1;50;99;6,243420167989837E-4;25097;352;6,243420167989837E-4;352;
LSBI;1;50;99;7,536866170608331E-4;105198;1747;7,536866170608331E-4;1747;
