Eval;Branches;Iterations;Parts;min MAE;real Time;sum Time;avg Mae;avg Time
LSBI;32;5000;3999;3,01E-04;10768920;338500246;0,001154882;10578132
Random;4;10000;3999;0,005917289;734;2936;0,008703205;734
LSFI;4;10000;3999;0,005606767;592154;2327438;4,190197185;581859
LSBI;4;10000;3999;5,83E-04;3833088;15308102;0,001039552;3827025
Random;8;10000;3999;0,002220644;875;6858;0,006107902;857
LSFI;8;10000;3999;0,005606767;878438;6848046;2,3225116;856005
LSBI;8;10000;3999;2,02E-04;5270185;42152028;7,34E-04;5269003
Random;16;10000;3999;0,001015712;1750;25862;0,006367619;1616
LSFI;16;10000;3999;0,002267224;1682653;25559509;1,17968582;1597469
LSBI;16;10000;3999;2,02E-04;10557402;164132107;7,79E-04;10258256
Random;32;10000;3999;0,001015712;3477;103484;0,008211679;3233
LSFI;32;10000;3999;0,002267224;2986178;93252713;1,276965312;2914147
LSBI;32;10000;3999;2,02E-04;21593486;683771944;7,09E-04;21367873
