Eval;Branches;Iterations;Parts;min MAE;real Time;sum Time;avg Mae;avg Time;
LSFI;4;1000;499;0,012526092515624282;6806;26335;7,696234964542424;6583;
LSFI;8;1000;499;0,004729439453579613;7853;59658;4,231384925998913;7457;
LSFI;16;1000;499;0,004729439453579613;15606;238942;2,218531953878919;14933;
LSFI;32;1000;499;0,004729439453579613;30652;935784;1,683810359688925;29243;
LSFI;4;5000;499;0,00674295819694981;32398;127161;0,4074176724192077;31790;
LSFI;8;5000;499;0,00674295819694981;36574;288276;0,21968622861965065;36034;
LSFI;16;5000;499;0,00674295819694981;91422;1392637;0,641300387602122;87039;
LSFI;32;5000;499;0,0028352121902160453;209697;6601713;0,38961924700342987;206303;
LSFI;4;10000;499;0,5085358784451336;74757;295450;2,7358432736717737;73862;
LSFI;8;10000;499;0,009046537539904646;107125;848586;1,6123382715874621;106073;
LSFI;16;10000;499;0,009046537539904646;234687;3597840;0,9366505512749087;224865;
LSFI;32;10000;499;0,0038098881914990683;460589;14270723;1,883447983483799;445960;
LSFI;4;1000;999;0,003918411891306646;12548;47543;0,016065234163448336;11885;
LSFI;8;1000;999;0,003918411891306646;17439;115393;0,035716644668891996;14424;
LSFI;16;1000;999;0,003918411891306646;44996;697620;1,2262804149026423;43601;
LSFI;32;1000;999;0,003918411891306646;73989;2310504;0,7372721948582527;72203;
LSFI;4;5000;999;0,003972365773343096;66231;258766;0,2523822384614544;64691;
LSFI;8;5000;999;0,003972365773343096;110564;872437;0,31044028452622074;109054;
LSFI;16;5000;999;0,003972365773343096;199016;3109200;0,4752842012657579;194325;
LSFI;32;5000;999;0,003972365773343096;415509;12822041;0,5258310112797887;400688;
LSFI;4;10000;999;0,010006165811968304;136490;537300;0,7903794125043058;134325;
LSFI;8;10000;999;0,010006165811968304;198805;1572348;1,3118350598226636;196543;
LSFI;16;10000;999;0,00819399057938885;418879;6407044;0,8489464542623386;400440;
LSFI;32;10000;999;0,001679377211172054;814870;25496779;0,5467766063700414;796774;
LSFI;4;1000;3999;0,01121241472631498;38878;138387;0,014693358517316683;34596;
LSFI;8;1000;3999;0,00485262603124634;71174;518197;0,0730697881436602;64774;
LSFI;16;1000;3999;0,00485262603124634;132681;2022253;0,7309225782857459;126390;
LSFI;32;1000;3999;0,002178312010541142;270991;8108809;0,46158379821397505;253400;
LSFI;4;5000;3999;0,0014293051592319057;221709;868533;0,17664312432613669;217133;
LSFI;8;5000;3999;0,0014293051592319057;345525;2667102;0,1482303909854881;333387;
LSFI;16;5000;3999;0,0014293051592319057;672175;10386230;0,7856884520622949;649139;
LSFI;32;5000;3999;0,0014293051592319057;1387136;42984126;0,48254710922491717;1343253;
LSFI;4;10000;3999;0,005606767308402594;592154;2327438;4,190197184710978;581859;
LSFI;8;10000;3999;0,005606767308402594;878438;6848046;2,3225116004948214;856005;
LSFI;16;10000;3999;0,0022672241087668015;1682653;25559509;1,1796858198891116;1597469;
LSFI;32;10000;3999;0,0022672241087668015;2986178;93252713;1,276965311590823;2914147;
